user_id,avg_monthly_spend,data_usage_gb,days_since_last_recharge,signal_strength_score,active_plan,support_tickets_open,churn_risk_score
JAZZ_0000,55.89,9.26,27,0.7,Premium,2,0.76
JAZZ_0001,113.8,27.1,6,0.59,Standard,2,0.62
JAZZ_0002,91.82,43.65,34,0.89,Premium,2,0.75
JAZZ_0003,78.42,36.61,27,0.71,Flexi,1,0.56
JAZZ_0004,33.93,40.33,13,0.59,Standard,1,0.48
JAZZ_0005,33.93,32.94,9,0.85,Standard,0,0.14
JAZZ_0006,24.09,34.61,15,0.65,Flexi,1,0.47
JAZZ_0007,105.3,42.46,15,0.36,Premium,0,0.39
JAZZ_0008,78.66,12.48,30,0.29,Standard,0,0.55
JAZZ_0009,89.41,24.47,41,0.24,Standard,0,0.67
JAZZ_0010,20.32,11.06,24,0.91,Premium,1,0.45
JAZZ_0011,115.73,49.38,12,0.74,Flexi,2,0.61
JAZZ_0012,101.91,47.2,5,0.94,Premium,1,0.27
JAZZ_0013,39.59,1.97,43,0.64,Premium,0,0.53
JAZZ_0014,36.52,35.28,8,0.53,Premium,0,0.26
JAZZ_0015,36.68,46.26,44,0.15,Standard,1,0.93
JAZZ_0016,48.83,9.03,35,0.7,Flexi,0,0.43
JAZZ_0017,70.99,28.4,42,0.62,Flexi,0,0.53
JAZZ_0018,61.66,45.77,19,0.99,Premium,1,0.37
JAZZ_0019,47.52,1.7,17,0.32,Standard,1,0.62
JAZZ_0020,79.74,34.87,42,0.58,Premium,1,0.74
JAZZ_0021,32.27,14.87,20,0.69,Standard,0,0.3
JAZZ_0022,47.61,46.22,3,0.68,Standard,0,0.15
JAZZ_0023,55.07,48.55,32,0.61,Standard,2,0.84
JAZZ_0024,64.09,47.21,26,0.8,Standard,2,0.71
JAZZ_0025,97.16,23.71,6,0.28,Flexi,1,0.54
JAZZ_0026,38.32,43.1,5,0.75,Standard,2,0.54
JAZZ_0027,69.93,42.23,14,0.66,Standard,0,0.26
JAZZ_0028,77.79,15.96,17,0.91,Premium,2,0.59
JAZZ_0029,22.92,41.45,31,0.86,Premium,0,0.33
JAZZ_0030,79.31,1.85,10,0.38,Flexi,1,0.54
JAZZ_0031,35.39,29.81,19,0.35,Premium,1,0.63
JAZZ_0032,24.79,11.5,23,0.98,Standard,0,0.21
JAZZ_0033,113.61,6.03,14,0.57,Premium,2,0.7
JAZZ_0034,115.3,3.85,6,0.92,Flexi,1,0.29
JAZZ_0035,99.49,34.81,20,0.25,Premium,1,0.68
JAZZ_0036,48.86,16.99,41,0.68,Premium,2,0.89
JAZZ_0037,28.07,36.24,25,0.83,Flexi,2,0.69
JAZZ_0038,87.02,3.27,43,0.95,Flexi,0,0.4
JAZZ_0039,62.49,15.76,13,0.4,Standard,2,0.76
JAZZ_0040,30.51,26.97,36,0.75,Premium,2,0.82
JAZZ_0041,68.02,39.54,20,0.58,Standard,2,0.75
JAZZ_0042,21.71,15.94,17,0.15,Premium,0,0.49
JAZZ_0043,109.64,31.29,4,0.72,Premium,0,0.15
JAZZ_0044,44.26,44.3,2,0.72,Standard,1,0.33
JAZZ_0045,84.83,30.79,22,0.94,Premium,0,0.22
JAZZ_0046,49.58,11.65,25,0.55,Premium,1,0.6
JAZZ_0047,70.52,1.22,36,0.31,Premium,2,1.0
JAZZ_0048,73.19,43.5,23,0.14,Flexi,1,0.75
JAZZ_0049,36.83,1.06,18,0.47,Standard,1,0.57
JAZZ_0050,115.69,43.74,24,0.37,Flexi,2,0.87
JAZZ_0051,96.15,26.45,20,0.78,Standard,1,0.47
JAZZ_0052,112.67,46.95,11,0.42,Standard,0,0.33
JAZZ_0053,108.18,39.94,40,0.95,Premium,0,0.38
JAZZ_0054,78.34,49.9,32,0.97,Standard,0,0.3
JAZZ_0055,110.9,17.54,3,0.66,Flexi,0,0.16
JAZZ_0056,27.14,38.36,41,0.94,Flexi,1,0.59
JAZZ_0057,37.95,20.1,6,0.78,Flexi,1,0.34
JAZZ_0058,22.8,23.99,21,0.59,Standard,2,0.75
JAZZ_0059,50.95,31.38,32,0.26,Flexi,1,0.78
JAZZ_0060,57.31,43.68,16,0.51,Standard,1,0.54
JAZZ_0061,45.52,49.2,23,0.6,Flexi,1,0.56
JAZZ_0062,101.54,38.41,33,0.88,Flexi,2,0.74
JAZZ_0063,54.1,20.89,27,0.53,Standard,0,0.43
JAZZ_0064,46.48,21.07,42,0.91,Flexi,1,0.61
JAZZ_0065,72.79,36.88,40,0.71,Premium,2,0.87
JAZZ_0066,32.41,11.94,38,0.22,Standard,2,1.05
JAZZ_0067,98.87,5.52,21,1.0,Standard,2,0.59
JAZZ_0068,25.74,17.73,16,0.57,Standard,0,0.31
JAZZ_0069,117.43,14.36,33,0.45,Premium,1,0.71
JAZZ_0070,95.86,14.82,5,0.69,Standard,2,0.57
JAZZ_0071,38.22,11.68,5,0.2,Flexi,0,0.36
JAZZ_0072,18.8,2.1,33,0.67,Flexi,2,0.83
JAZZ_0073,100.2,0.89,0,0.55,Flexi,2,0.58
JAZZ_0074,89.29,49.39,9,0.47,Standard,2,0.69
JAZZ_0075,91.52,21.39,20,0.96,Flexi,2,0.59
JAZZ_0076,95.76,19.22,4,0.57,Standard,2,0.61
JAZZ_0077,25.69,33.98,1,0.3,Flexi,0,0.29
JAZZ_0078,54.28,10.91,21,0.51,Premium,1,0.58
JAZZ_0079,29.89,47.5,1,0.93,Premium,1,0.24
JAZZ_0080,104.99,39.32,9,0.26,Premium,1,0.58
JAZZ_0081,80.89,4.47,33,0.29,Premium,1,0.78
JAZZ_0082,51.51,20.88,15,0.11,Standard,0,0.49
JAZZ_0083,24.64,43.96,38,0.11,Flexi,0,0.69
JAZZ_0084,49.5,47.24,21,0.85,Premium,0,0.25
JAZZ_0085,50.93,23.37,11,0.76,Standard,2,0.59
JAZZ_0086,91.58,30.67,23,0.42,Premium,2,0.84
JAZZ_0087,82.32,8.35,39,0.73,Premium,2,0.85
JAZZ_0088,107.41,49.56,37,0.46,Standard,1,0.74
JAZZ_0089,65.71,11.58,9,0.96,Standard,2,0.5
JAZZ_0090,30.27,47.14,34,0.97,Flexi,1,0.51
JAZZ_0091,89.93,32.48,31,0.45,Flexi,2,0.9
JAZZ_0092,94.71,30.39,6,0.87,Premium,1,0.31
JAZZ_0093,74.66,25.63,20,0.8,Premium,2,0.66
JAZZ_0094,95.73,11.53,19,0.38,Flexi,2,0.82
JAZZ_0095,67.88,8.83,25,0.31,Flexi,0,0.5
JAZZ_0096,70.78,11.02,3,0.51,Standard,2,0.62
JAZZ_0097,61.22,9.32,21,0.8,Flexi,2,0.67
JAZZ_0098,20.8,38.98,14,0.96,Flexi,0,0.14
JAZZ_0099,29.09,17.51,39,0.79,Premium,1,0.63
JAZZ_0100,21.41,2.89,20,0.87,Flexi,0,0.23
JAZZ_0101,82.21,48.46,14,0.64,Premium,0,0.27
JAZZ_0102,49.84,44.19,21,0.85,Flexi,1,0.45
JAZZ_0103,69.36,46.39,27,0.81,Standard,2,0.72
JAZZ_0104,109.46,49.75,13,0.44,Flexi,1,0.54
JAZZ_0105,43.3,8.69,26,0.6,Flexi,2,0.79
JAZZ_0106,59.49,19.81,40,0.82,Flexi,2,0.83
JAZZ_0107,94.18,37.91,39,0.14,Premium,1,0.89
JAZZ_0108,41.24,34.8,27,0.83,Standard,0,0.31
JAZZ_0109,25.99,7.69,25,0.26,Flexi,1,0.72
JAZZ_0110,47.37,40.79,1,0.56,Premium,2,0.58
JAZZ_0111,34.45,11.22,24,0.83,Standard,1,0.48
JAZZ_0112,111.68,11.19,2,0.33,Premium,1,0.49
JAZZ_0113,99.47,26.85,7,0.32,Premium,2,0.73
JAZZ_0114,81.91,29.65,43,0.46,Standard,0,0.6
JAZZ_0115,105.83,29.0,32,0.91,Flexi,1,0.52
JAZZ_0116,99.02,4.57,41,0.1,Premium,2,1.12
JAZZ_0117,37.0,43.87,34,0.91,Premium,2,0.74
JAZZ_0118,107.95,13.28,5,0.24,Flexi,1,0.55
JAZZ_0119,72.45,6.48,38,0.99,Flexi,0,0.34
JAZZ_0120,99.4,44.44,22,0.96,Standard,1,0.41
JAZZ_0121,108.31,47.78,24,0.55,Standard,0,0.39
JAZZ_0122,50.21,43.11,42,0.56,Standard,0,0.55
JAZZ_0123,29.31,40.48,18,0.53,Flexi,0,0.35
JAZZ_0124,41.16,32.76,4,0.67,Premium,0,0.17
JAZZ_0125,61.17,27.54,10,0.18,Premium,1,0.62
JAZZ_0126,100.46,4.35,11,0.13,Standard,2,0.85
JAZZ_0127,104.75,20.42,9,0.15,Flexi,2,0.82
JAZZ_0128,18.95,18.63,7,0.5,Premium,2,0.66
JAZZ_0129,69.58,12.99,23,0.35,Standard,2,0.86
JAZZ_0130,60.2,36.17,27,0.66,Premium,2,0.78
JAZZ_0131,40.57,24.79,40,0.99,Premium,2,0.76
JAZZ_0132,30.3,4.05,35,0.45,Flexi,1,0.73
JAZZ_0133,52.18,11.01,36,0.62,Flexi,0,0.47
JAZZ_0134,113.01,34.16,20,0.47,Premium,2,0.79
JAZZ_0135,50.73,3.81,7,0.86,Standard,1,0.32
JAZZ_0136,70.39,42.56,8,0.91,Flexi,2,0.51
JAZZ_0137,88.9,24.76,14,0.89,Premium,2,0.57
JAZZ_0138,54.79,24.03,39,0.98,Flexi,0,0.35
JAZZ_0139,115.91,29.62,17,0.12,Flexi,0,0.5
JAZZ_0140,114.98,41.23,41,0.86,Flexi,0,0.42
JAZZ_0141,43.55,17.39,19,0.78,Premium,2,0.66
JAZZ_0142,68.22,33.9,5,0.31,Standard,2,0.72
JAZZ_0143,48.49,28.29,11,0.96,Standard,2,0.51
JAZZ_0144,46.88,13.35,1,0.23,Standard,0,0.32
JAZZ_0145,21.96,43.93,6,0.71,Flexi,1,0.37
JAZZ_0146,79.51,39.87,15,0.3,Premium,2,0.81
JAZZ_0147,68.77,32.92,2,0.49,Flexi,2,0.62
JAZZ_0148,23.42,42.53,44,0.75,Standard,2,0.89
JAZZ_0149,46.25,43.36,2,0.61,Standard,1,0.37
JAZZ_0150,109.53,35.42,26,0.48,Premium,2,0.84
JAZZ_0151,42.33,41.85,42,0.39,Flexi,1,0.82
JAZZ_0152,32.81,34.87,39,0.86,Standard,2,0.8
JAZZ_0153,67.44,34.01,37,0.23,Premium,1,0.84
JAZZ_0154,117.31,30.93,32,0.49,Flexi,2,0.89
JAZZ_0155,42.58,37.64,27,0.91,Flexi,0,0.28
JAZZ_0156,85.8,7.93,0,0.86,Standard,0,0.06
JAZZ_0157,94.79,44.04,7,0.46,Standard,0,0.28
JAZZ_0158,42.13,43.59,36,0.79,Flexi,0,0.4
JAZZ_0159,91.44,1.46,31,0.84,Flexi,2,0.74
JAZZ_0160,55.21,41.29,42,0.9,Standard,0,0.41
JAZZ_0161,81.8,6.44,36,0.59,Flexi,1,0.68
JAZZ_0162,81.92,16.76,3,0.28,Standard,0,0.31
JAZZ_0163,72.1,37.18,29,0.33,Flexi,0,0.53
JAZZ_0164,27.32,8.04,5,0.37,Standard,0,0.3
JAZZ_0165,102.2,40.9,18,0.63,Premium,2,0.71
JAZZ_0166,50.49,41.61,31,0.13,Standard,0,0.62
JAZZ_0167,37.0,25.37,8,0.67,Standard,1,0.4
JAZZ_0168,22.35,0.32,11,0.43,Premium,0,0.33
JAZZ_0169,77.63,14.35,10,0.37,Flexi,0,0.34
JAZZ_0170,86.35,30.85,15,0.89,Premium,0,0.18
JAZZ_0171,19.92,49.06,0,0.51,Standard,1,0.4
JAZZ_0172,69.72,31.59,44,0.19,Flexi,0,0.72
JAZZ_0173,41.01,12.99,20,0.84,Premium,1,0.44
JAZZ_0174,83.09,31.7,29,0.14,Flexi,1,0.8
JAZZ_0175,35.77,27.0,12,0.75,Flexi,0,0.21
JAZZ_0176,87.69,38.99,33,0.8,Premium,1,0.57
JAZZ_0177,57.12,5.35,3,0.42,Flexi,2,0.66
JAZZ_0178,112.39,38.05,27,0.84,Premium,0,0.3
JAZZ_0179,32.07,27.06,37,0.56,Standard,0,0.5
JAZZ_0180,52.53,48.15,30,0.52,Flexi,1,0.66
JAZZ_0181,29.65,17.09,26,0.14,Standard,1,0.78
JAZZ_0182,111.18,31.63,4,0.36,Standard,0,0.29
JAZZ_0183,106.42,46.6,24,0.94,Flexi,2,0.64
JAZZ_0184,44.17,5.13,2,0.45,Premium,1,0.44
JAZZ_0185,84.58,46.86,32,0.59,Flexi,1,0.65
JAZZ_0186,100.38,34.39,3,0.58,Standard,2,0.59
