user_id,avg_monthly_spend,data_usage_gb,days_since_last_recharge,signal_strength_score,active_plan,support_tickets_open,churn
5726-CVNYA,19.85,1.03,13,0.3765,Premium,1,0
3583-EKAPL,55.0,22.86,15,0.5314,Flexi,0,1
8769-KKTPH,99.65,38.58,17,0.6972,Standard,0,0
1216-JWVUX,75.5,54.13,13,0.7824,Flexi,1,0
9488-HGMJH,71.15,50.63,13,0.4758,Flexi,1,1
6778-JFCMK,50.6,23.42,13,0.8148,Standard,0,0
3088-FVYWK,25.55,3.04,24,0.7862,Premium,0,0
6122-EFVKN,35.75,13.4,17,0.9402,Premium,1,0
4187-CINZD,95.25,32.44,18,0.8467,Standard,1,1
0107-YHINA,99.75,45.17,16,0.9012,Flexi,2,1
0581-BXBUB,72.75,36.29,14,0.9517,Flexi,1,0
0880-TKATG,101.15,39.99,15,0.6314,Flexi,3,1
7752-XUSCI,105.9,66.11,13,0.8437,Flexi,0,1
8430-TWCBX,20.7,1.59,11,0.2621,Standard,2,0
8883-ANODQ,84.4,62.04,13,0.7802,Premium,0,0
3904-UKFRE,80.1,67.75,12,0.6683,Flexi,1,0
7802-EFKNY,24.95,21.21,13,0.7916,Flexi,0,1
9025-ZRPVR,18.95,0.5,13,0.5759,Flexi,0,1
8647-SDTWQ,74.3,46.42,20,0.5362,Flexi,0,0
5949-EBSQK,61.45,15.61,11,0.4558,Flexi,1,1
5186-PEIZU,19.25,2.23,10,0.9158,Flexi,0,0
4671-VJLCL,79.85,27.99,14,0.7683,Premium,0,0
0488-GSLFR,69.5,32.67,16,0.5799,Flexi,2,1
0404-SWRVG,74.4,35.42,20,0.8901,Flexi,0,1
0679-TDGAK,75.5,22.54,16,0.9387,Standard,0,0
6522-OIQSX,54.95,26.6,11,0.6529,Premium,0,0
2796-UUZZO,80.3,29.47,19,0.564,Flexi,0,0
0017-DINOC,45.2,28.0,20,0.7899,Premium,1,0
7876-BEUTG,48.8,16.13,14,0.7582,Flexi,1,0
5832-XKAES,69.8,35.07,18,0.742,Flexi,2,1
3043-SUDUA,19.9,1.44,10,0.9058,Flexi,0,0
2193-SFWQW,111.95,62.1,19,0.5462,Premium,0,0
9750-BOOHV,30.15,26.3,11,0.7906,Standard,1,0
